SampleID	Nature	Platform	Method	Patient	Patient_1
16S_TAX4FUN_CUS_skin_16	Skin	16S	TAX4FUN-CUS	sample_16	sample_16_TAX4FUN-CUS
WGS_skin_sample_17	Skin	WGS	Humann	sample_17	sample_17_Humann
16S_METGEM_skin_17	Skin	16S	METGEM	sample_17	sample_17_METGEM
16S_METGEM_CUS_skin_17	Skin	16S	METGEM-CUS	sample_17	sample_17_METGEM-CUS
16S_PANFP_skin_17	Skin	16S	PANFP	sample_17	sample_17_PANFP
16S_PANFP_CUS_skin_17	Skin	16S	PANFP-CUS	sample_17	sample_17_PANFP-CUS
16S_PICRUST_skin_17	Skin	16S	PICRUST	sample_17	sample_17_PICRUST
16S_PICRUST_CUS_skin_17	Skin	16S	PICRUST-CUS	sample_17	sample_17_PICRUST-CUS
16S_TAX4FUN_skin_17	Skin	16S	TAX4FUN	sample_17	sample_17_TAX4FUN
16S_TAX4FUN_CUS_skin_17	Skin	16S	TAX4FUN-CUS	sample_17	sample_17_TAX4FUN-CUS
WGS_skin_sample_18	Skin	WGS	Humann	sample_18	sample_18_Humann
16S_METGEM_skin_18	Skin	16S	METGEM	sample_18	sample_18_METGEM
16S_METGEM_CUS_skin_18	Skin	16S	METGEM-CUS	sample_18	sample_18_METGEM-CUS
16S_PANFP_skin_18	Skin	16S	PANFP	sample_18	sample_18_PANFP
16S_PANFP_CUS_skin_18	Skin	16S	PANFP-CUS	sample_18	sample_18_PANFP-CUS
16S_PICRUST_skin_18	Skin	16S	PICRUST	sample_18	sample_18_PICRUST
16S_PICRUST_CUS_skin_18	Skin	16S	PICRUST-CUS	sample_18	sample_18_PICRUST-CUS
16S_TAX4FUN_skin_18	Skin	16S	TAX4FUN	sample_18	sample_18_TAX4FUN
16S_TAX4FUN_CUS_skin_18	Skin	16S	TAX4FUN-CUS	sample_18	sample_18_TAX4FUN-CUS
WGS_skin_sample_19	Skin	WGS	Humann	sample_19	sample_19_Humann
16S_METGEM_skin_19	Skin	16S	METGEM	sample_19	sample_19_METGEM
16S_METGEM_CUS_skin_19	Skin	16S	METGEM-CUS	sample_19	sample_19_METGEM-CUS
16S_PANFP_skin_19	Skin	16S	PANFP	sample_19	sample_19_PANFP
16S_PANFP_CUS_skin_19	Skin	16S	PANFP-CUS	sample_19	sample_19_PANFP-CUS
16S_PICRUST_skin_19	Skin	16S	PICRUST	sample_19	sample_19_PICRUST
16S_PICRUST_CUS_skin_19	Skin	16S	PICRUST-CUS	sample_19	sample_19_PICRUST-CUS
16S_TAX4FUN_skin_19	Skin	16S	TAX4FUN	sample_19	sample_19_TAX4FUN
16S_TAX4FUN_CUS_skin_19	Skin	16S	TAX4FUN-CUS	sample_19	sample_19_TAX4FUN-CUS
WGS_skin_sample_20	Skin	WGS	Humann	sample_20	sample_20_Humann
16S_METGEM_skin_20	Skin	16S	METGEM	sample_20	sample_20_METGEM
16S_METGEM_CUS_skin_20	Skin	16S	METGEM-CUS	sample_20	sample_20_METGEM-CUS
16S_PANFP_skin_20	Skin	16S	PANFP	sample_20	sample_20_PANFP
16S_PANFP_CUS_skin_20	Skin	16S	PANFP-CUS	sample_20	sample_20_PANFP-CUS
16S_PICRUST_skin_20	Skin	16S	PICRUST	sample_20	sample_20_PICRUST
16S_PICRUST_CUS_skin_20	Skin	16S	PICRUST-CUS	sample_20	sample_20_PICRUST-CUS
16S_TAX4FUN_skin_20	Skin	16S	TAX4FUN	sample_20	sample_20_TAX4FUN
16S_TAX4FUN_CUS_skin_20	Skin	16S	TAX4FUN-CUS	sample_20	sample_20_TAX4FUN-CUS
WGS_skin_sample_28	Skin	WGS	Humann	sample_28	sample_28_Humann
16S_METGEM_skin_28	Skin	16S	METGEM	sample_28	sample_28_METGEM
16S_METGEM_CUS_skin_28	Skin	16S	METGEM-CUS	sample_28	sample_28_METGEM-CUS
16S_PANFP_skin_28	Skin	16S	PANFP	sample_28	sample_28_PANFP
16S_PANFP_CUS_skin_28	Skin	16S	PANFP-CUS	sample_28	sample_28_PANFP-CUS
16S_PICRUST_skin_28	Skin	16S	PICRUST	sample_28	sample_28_PICRUST
16S_PICRUST_CUS_skin_28	Skin	16S	PICRUST-CUS	sample_28	sample_28_PICRUST-CUS
16S_TAX4FUN_skin_28	Skin	16S	TAX4FUN	sample_28	sample_28_TAX4FUN
16S_TAX4FUN_CUS_skin_28	Skin	16S	TAX4FUN-CUS	sample_28	sample_28_TAX4FUN-CUS
